Observer's latitude (deg) ? 147
Day of the month (1-31)? 6
Month (1-12) ? 3
Right ascension (h,m)   ? 9,54
Declination (deg)       ? 76

From (h,m): ? 7,54
To (h,m):   ? 6,43

Positive rotation rates are clockwise:
 14h 58    Rotation  -0.26
 14h 59    Rotation  -0.26
 15h  0    Rotation  -0.26
 15h  1    Rotation  -0.26
 15h  2    Rotation  -0.26
 15h  3    Rotation  -0.26
 15h  4    Rotation  -0.26
 15h  5    Rotation  -0.26
 15h  6    Rotation  -0.26
 15h  7    Rotation  -0.26
 15h  8    Rotation  -0.26
 15h  9    Rotation  -0.26
 15h 10    Rotation  -0.26
 15h 11    Rotation  -0.26
 15h 12    Rotation  -0.26
 15h 13    Rotation  -0.26
 15h 14    Rotation  -0.26
 15h 15    Rotation  -0.26
 15h 16    Rotation  -0.26
 15h 17    Rotation  -0.26
 15h 18    Rotation  -0.26
 15h 19    Rotation  -0.26
 15h 20    Rotation  -0.26
 15h 21    Rotation  -0.26
 15h 22    Rotation  -0.26
 15h 23    Rotation  -0.26
 15h 24    Rotation  -0.25
 15h 25    Rotation  -0.25
 15h 26    Rotation  -0.25
 15h 27    Rotation  -0.25
 15h 28    Rotation  -0.25
 15h 29    Rotation  -0.25
 15h 30    Rotation  -0.25
 15h 31    Rotation  -0.25
 15h 32    Rotation  -0.25
 15h 33    Rotation  -0.25
 15h 34    Rotation  -0.25
 15h 35    Rotation  -0.25
 15h 36    Rotation  -0.25
 15h 37    Rotation  -0.25
 15h 38    Rotation  -0.25
 15h 39    Rotation  -0.25
 15h 40    Rotation  -0.25
 15h 41    Rotation  -0.25
 15h 42    Rotation  -0.25
 15h 43    Rotation  -0.25
 15h 44    Rotation  -0.25
 15h 45    Rotation  -0.25
 15h 46    Rotation  -0.25
 15h 47    Rotation  -0.25
 15h 48    Rotation  -0.25
 15h 49    Rotation  -0.25
 15h 50    Rotation  -0.25
 15h 51    Rotation  -0.25
 15h 52    Rotation  -0.25
 15h 53    Rotation  -0.25
 15h 54    Rotation  -0.25
 15h 55    Rotation  -0.25
 15h 56    Rotation  -0.25
 15h 57    Rotation  -0.25
 15h 58    Rotation  -0.25
 15h 59    Rotation  -0.25
 16h  0    Rotation  -0.25
 16h  1    Rotation  -0.25
 16h  2    Rotation  -0.25
 16h  3    Rotation  -0.25
 16h  4    Rotation  -0.25
 16h  5    Rotation  -0.25
 16h  6    Rotation  -0.25
 16h  7    Rotation  -0.25
 16h  8    Rotation  -0.25
 16h  9    Rotation  -0.25
 16h 10    Rotation  -0.25
 16h 11    Rotation  -0.25
